ts_utc,source_updated_at_raw,usd_denomination,usd_buy_thb_per_unit,usd_sell_thb_per_unit,gbp_denomination,gbp_buy_thb_per_unit,gbp_sell_thb_per_unit,eur_denomination,eur_buy_thb_per_unit,eur_sell_thb_per_unit,jpy_denomination,jpy_buy_thb_per_unit,jpy_sell_thb_per_unit,cny_denomination,cny_buy_thb_per_unit,cny_sell_thb_per_unit,source
2026-07-19T04:26:13+00:00,2026-07-19T08:53:17.866Z,100,33.5,33.58,50,45.0,45.15,500-100,38.3,38.45,10000 - 5000,0.206,0.2075,100,4.93,4.95,SuperRich Thailand retail cash exchange
2026-07-20T05:06:23+00:00,2026-07-20T11:43:40.176Z,100,33.58,33.61,50,45.1,45.25,500-100,38.35,38.5,10000 - 5000,0.2065,0.208,100,4.94,4.96,SuperRich Thailand retail cash exchange
2026-07-21T04:47:30+00:00,2026-07-21T11:42:44.016Z,100,33.57,33.62,50,45.05,45.2,500-100,38.25,38.4,10000 - 5000,0.206,0.207,100,4.94,4.96,SuperRich Thailand retail cash exchange
2026-07-22T04:47:08+00:00,2026-07-22T11:30:28.866Z,100,33.72,33.75,50,45.05,45.2,500-100,38.4,38.55,10000 - 5000,0.206,0.207,100,4.96,4.98,SuperRich Thailand retail cash exchange
2026-07-23T04:52:02+00:00,2026-07-23T11:43:02.533Z,100,33.7,33.75,50,45.1,45.2,500-100,38.45,38.55,10000 - 5000,0.2065,0.2075,100,4.98,5.0,SuperRich Thailand retail cash exchange
2026-07-24T04:48:49+00:00,2026-07-24T11:32:31.436Z,100,33.75,33.78,50,44.9,45.05,500-100,38.35,38.5,10000 - 5000,0.2055,0.207,100,4.99,5.01,SuperRich Thailand retail cash exchange
2026-07-25T04:44:10+00:00,2026-07-25T09:10:19.880Z,100,33.6,33.67,50,44.7,44.85,500-100,38.1,38.25,10000 - 5000,0.205,0.2065,100,4.96,4.99,SuperRich Thailand retail cash exchange
2026-07-26T04:58:48+00:00,2026-07-26T08:41:32.803Z,100,33.61,33.67,50,44.7,44.85,500-100,38.1,38.25,10000 - 5000,0.205,0.2065,100,4.96,4.99,SuperRich Thailand retail cash exchange
2026-07-27T05:12:13+00:00,2026-07-27T11:44:17.760Z,100,33.49,33.54,50,44.65,44.75,500-100,38.1,38.2,10000 - 5000,0.2045,0.206,100,4.93,4.96,SuperRich Thailand retail cash exchange
2026-07-28T04:43:07+00:00,2026-07-28T09:22:33.523Z,100,33.5,33.65,50,44.55,44.7,500-100,38.1,38.2,10000 - 5000,0.2045,0.206,100,4.94,4.97,SuperRich Thailand retail cash exchange
2026-07-29T04:47:31+00:00,2026-07-29T11:43:37.860Z,100,33.4,33.48,50,44.35,44.55,500-100,38.0,38.15,10000 - 5000,0.2035,0.2055,100,4.93,4.97,SuperRich Thailand retail cash exchange
2026-07-30T04:35:21+00:00,2026-07-30T10:51:05.956Z,100,33.47,33.52,50,44.6,44.75,500-100,38.25,38.35,10000 - 5000,0.204,0.205,100,4.93,4.96,SuperRich Thailand retail cash exchange
2026-07-31T05:00:54+00:00,2026-07-31T11:56:55.850Z,100,33.38,33.47,50,44.85,45.0,500-100,38.35,38.5,10000 - 5000,0.207,0.208,100,4.93,4.97,SuperRich Thailand retail cash exchange
2026-08-01T04:52:23+00:00,2026-08-01T10:59:10.923Z,100,33.34,33.4,50,44.85,45.0,500-100,38.35,38.5,10000 - 5000,0.2105,0.212,100,4.92,4.96,SuperRich Thailand retail cash exchange
2026-08-02T04:54:52+00:00,2026-08-02T09:11:58.270Z,100,33.35,33.4,50,44.85,45.0,500-100,38.35,38.5,10000 - 5000,0.2105,0.212,100,4.92,4.96,SuperRich Thailand retail cash exchange
2026-08-03T05:04:42+00:00,2026-08-03T11:28:39.866Z,100,33.27,33.32,50,44.75,44.9,500-100,38.3,38.45,10000 - 5000,0.212,0.2135,100,4.91,4.95,SuperRich Thailand retail cash exchange
2026-08-04T04:43:29+00:00,2026-08-04T11:27:58.723Z,100,33.34,33.41,50,44.75,44.9,500-100,38.35,38.5,10000 - 5000,0.211,0.2125,100,4.91,4.94,SuperRich Thailand retail cash exchange
2026-08-05T04:43:29+00:00,2026-08-05T10:49:48.323Z,100,33.13,33.25,50,44.5,44.65,500-100,38.15,38.3,10000 - 5000,0.21,0.2115,100,4.9,4.93,SuperRich Thailand retail cash exchange
2026-08-06T04:43:45+00:00,2026-08-06T11:36:18.736Z,100,33.01,33.1,50,44.4,44.55,500-100,38.1,38.25,10000 - 5000,0.209,0.2105,100,4.87,4.9,SuperRich Thailand retail cash exchange
2026-08-07T04:11:14+00:00,2026-08-07T10:53:50.320Z,100,33.05,33.12,50,44.45,44.55,500-100,38.0,38.15,10000 - 5000,0.2085,0.2095,100,4.88,4.91,SuperRich Thailand retail cash exchange
2026-08-08T03:09:48+00:00,2026-08-08T10:03:38.596Z,100,32.98,33.05,50,44.25,44.4,500-100,37.9,38.05,10000 - 5000,0.2075,0.209,100,4.88,4.91,SuperRich Thailand retail cash exchange
